Backward Citation Ages.  ,,,,,,,,
Means and percentiles are presented in Supplementary Figure 1D. ,,,,,,,,
The predicted values and their standard errors are presented in Figures 2-4.,,,,,,,,
field,year,mean,median,p25,p75,,Predicted,se
Physics,1959,-0.2447473,-0.1852434,-0.9494243,0.3339429,,-0.213375,0.0198898
Physics,1960,-0.4815294,-0.660258,-1.164226,0.0897254,,-0.1982916,0.0200102
Physics,1961,-0.4684584,-0.3365426,-1.386206,0.3057078,,-0.1826255,0.0201539
Physics,1962,-0.2071698,-0.2231215,-0.7327191,0.4544771,,-0.1663734,0.0203169
Physics,1963,-0.1557688,-0.0656136,-0.7184751,0.3890307,,-0.1495318,0.0204947
Physics,1964,-0.5705796,-0.6845284,-1.427032,0.1391382,,-0.1320974,0.020683
Physics,1965,-0.1545675,-0.1020605,-0.9339635,0.5240898,,-0.1140669,0.0208771
Physics,1966,-0.0257454,-0.0127006,-0.7553914,0.6029276,,-0.0954369,0.0210722
Physics,1967,-0.2123321,-0.2629543,-0.6906333,0.1577371,,-0.0762043,0.0212638
Physics,1968,-0.3978572,-0.5631745,-1.024834,0.0099157,,-0.0563656,0.0214474
Physics,1969,0.1216074,0.1943498,-0.7298492,0.7195001,,-0.0359178,0.0216187
Physics,1970,-0.1686794,-0.2117309,-0.9295207,0.4394681,,-0.0148575,0.0217737
Physics,1971,-0.2094314,-0.3397403,-0.916922,0.4064546,,0.0068183,0.0219088
Physics,1972,-0.214089,-0.2774287,-1.018796,0.4109427,,0.0291129,0.0220208
Physics,1973,-0.1280136,-0.0887595,-0.8104663,0.3914589,,0.0520293,0.0221068
Physics,1974,-0.1165223,-0.3273104,-1.221482,0.7789555,,0.0755708,0.0221646
Physics,1975,-0.0197525,-0.0983525,-0.8133278,0.3990943,,0.0997404,0.0221926
Physics,1976,-0.0218924,-0.0765856,-0.9129698,0.5231453,,0.1245412,0.0221899
Physics,1977,-0.0170052,0.0033469,-0.7209568,0.6019287,,0.1499762,0.0221565
Physics,1978,-0.2848378,-0.5253276,-0.944214,0.2316761,,0.1760484,0.0220932
